n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
168,0.6412009688863974,0.9641408956172749,0.011904761904761904,0.06783784878548818,0.2528156037369069,0.30324892380508317,0.05055227916283128,1.756467255655318,3,60,0.2,4,0.15,0.3,24,90,4,64.4
183,0.6404003265649143,0.9650057187294593,0.0,0.10759723396979393,0.2463445853574131,0.3776671423129488,0.05494402974381026,1.6648417177697439,3,60,0.24999230808172615,4,0.15,0.3,29,90,4,67.5
131,0.6257992549076493,0.9632725715991506,0.0,0.1734873359464041,0.2504082363005338,0.3642652743738361,0.055676158110338735,1.579752431999111,3,80,0.2,3,0.2,0.27067550730420714,32,143,3,75.3
11,0.5255344249785715,0.9614265702738739,0.0,0.16509587240066476,0.25802233483758585,0.21352671757851238,0.014855100990924174,1.5122892133285089,8,80,0.5,3,0.2,0.16517397390139052,80,15,3,46.4
179,0.5854446366859094,0.9686696913149819,0.0,0.05088411238307994,0.2029061354335572,0.28865117240852667,0.07805224030429402,1.737596732330562,3,15,0.2,4,0.2,0.2575853788089462,6,5,4,59.2
131,0.6214261174482865,0.9645722980108198,0.0,0.08728607569884456,0.23282940125892473,0.37932317428024254,0.12150173183721154,1.6851514482174488,4,25,0.2,3,0.2,0.17305654909273827,10,6,3,41.5
202,0.5906283623199957,0.9656104738468929,0.0,0.07552222255005775,0.2383295225157101,0.33631561197728826,0.03234869731563278,1.6320389513594993,3,15,0.5,3,0.1,0.3,15,6,3,81.1
101,0.5983942138642664,0.9628200428376292,0.0,0.13048281507743476,0.24112822970759623,0.35868625453727504,0.05065008345651773,1.575200327825913,4,60,0.25171797623110964,4,0.2,0.3,30,54,4,56.4
31,0.5816842306641037,0.9643568909087841,0.0,0.170466320660441,0.23329008352174246,0.26454647269228176,0.0746435429957658,1.6133892886212802,5,80,0.2,4,0.25,0.11663988560792192,32,25,4,44.2
108,0.6054210337915855,0.9650684501369385,0.0,0.07544306423561734,0.23987837542861185,0.3767130539087703,0.21905356606268464,1.7133419948927582,3,15,0.2,3,0.25,0.05,6,1,3,30.2
36,0.5511062823140468,0.965015512817302,0.0,0.11033412725116173,0.2353299814866911,0.33147378442899694,0.17185025692665923,1.5936803034852207,5,40,0.2,4,0.15,0.05,16,3,4,30.6
140,0.6315079001839202,0.9660909269463638,0.0,0.1412846212486643,0.2317437656207555,0.3690255738319772,0.020346581859167528,1.6130979403527688,3,80,0.5,4,0.25,0.263385518306955,80,139,4,85.9
