n_neurons,Q,F,D,Psi,B,Phi,N,composite_score,gSig,rf,overlap_fraction,nb,decay_time,occupancy_frac,stride,K,nb_patch,runtime_s
143,0.6094009041420594,0.9674637402177414,0.0,0.06456879553458858,0.23170762154687105,0.2949726447507155,0.06114321333352836,1.741441904109885,3,25,0.4519833165511768,4,0.1,0.13615634471108687,22,7,4,47.7
158,0.5964683511002759,0.9586716706827334,0.0,0.06334282876982501,0.2766381593862475,0.396790619886308,0.06064789955477083,1.5834797943114136,3,25,0.46084436045399335,3,0.1,0.13693474704364558,23,7,3,49.1
119,0.6198802355348019,0.9661588087065283,0.0,0.09776028134967724,0.2464886673298081,0.3180420063400746,0.06804567747817597,1.7008954971605637,4,25,0.2,4,0.15,0.3,10,10,4,50.1
168,0.6182484136119852,0.9682843010146605,0.0,0.061807707853870485,0.2232198744507858,0.29744320693974063,0.05116828657439943,1.7595044195068266,3,25,0.5,4,0.1,0.15964357537738266,25,8,4,54.9
150,0.6318255679804737,0.9685792775115166,0.0,0.07258532858940292,0.2133734187741067,0.299413988211579,0.10521257572117065,1.8061506751450143,3,25,0.2,4,0.15,0.1578998611027768,10,8,4,44.4
134,0.6107505480025088,0.9692687936240093,0.0,0.07357699096940767,0.2139872197091783,0.28871217674128646,0.05433034454504737,1.7486522843362675,3,25,0.5,4,0.2,0.11376589055124567,25,6,4,45.9
146,0.6345943605161347,0.9687055205206403,0.0,0.07678220763192559,0.21414127694177604,0.2902817934746636,0.09165759049150114,1.8095883972211835,3,25,0.2,4,0.15,0.16654225151526542,10,9,4,45.9
167,0.6196365164127775,0.9683976681950656,0.0,0.059429611994918446,0.2233122984561156,0.30387316146905863,0.05087133037325657,1.7581474435152138,3,25,0.5,4,0.1,0.14291446388185486,25,8,4,57.0
146,0.6402225190971612,0.9683100189125591,0.0,0.06664061578047681,0.21752954152614132,0.30415354035437636,0.09165759049150114,1.8150249254547084,3,25,0.2,4,0.15,0.17501118039118801,10,9,4,46.3
151,0.6082134975463058,0.9681276422143814,0.0,0.0809024926696143,0.2233951494214361,0.2962092766688037,0.07809601333167743,1.734793299923696,3,25,0.2,4,0.2,0.20080016554767005,10,11,4,49.3
149,0.6155769087025785,0.9671578923566527,0.006711409395973154,0.06862918139709547,0.22331619045741388,0.3009572596112505,0.06142462185910151,1.7377123703603474,3,25,0.29138454203572556,4,0.15,0.21982399775296696,14,12,4,52.9
168,0.6202762065111839,0.9681109787051193,0.0,0.06022690469015872,0.22426598941794312,0.2953354590352486,0.05116828657439943,1.7665521765803076,3,25,0.5,4,0.2,0.15359831256225998,25,8,4,53.0
151,0.6304159255027348,0.9685557787461622,0.0,0.06971702412528574,0.21363174455648948,0.2939406102107727,0.10587813315006508,1.811853189712361,3,25,0.2,4,0.15,0.15684448003285206,10,8,4,45.2
